alpha,cl,cd,cm
-17.75,-0.9646,0.10148,-0.0372
-17.5,-0.9974,0.09157,-0.0433
-17.25,-1.0183,0.08419,-0.0478
-17,-1.0353,0.07772,-0.0517
-16.75,-1.0497,0.07185,-0.0553
-16.5,-1.0622,0.06632,-0.0587
-16.25,-1.0723,0.06125,-0.0619
-16,-1.0805,0.05654,-0.0648
-15.75,-1.0871,0.05218,-0.0675
-15.5,-1.092,0.0482,-0.0699
-15.25,-1.0954,0.0446,-0.0718
-15,-1.0974,0.04139,-0.0733
-14.75,-1.0978,0.03859,-0.0742
-14.5,-1.0969,0.03617,-0.0745
-14.25,-1.0946,0.03411,-0.0743
-14,-1.0911,0.03239,-0.0736
-13.75,-1.0905,0.03042,-0.0721
-13.5,-1.0874,0.02895,-0.0702
-13.25,-1.0832,0.02788,-0.0679
-13,-1.0806,0.02702,-0.0647
-12.75,-1.0759,0.02623,-0.0615
-12.5,-1.0688,0.02549,-0.0587
-12.25,-1.0609,0.0248,-0.0558
-12,-1.0521,0.02417,-0.0529
-11.75,-1.0443,0.02341,-0.0499
-11.5,-1.0382,0.02248,-0.0467
-11.25,-1.0279,0.02187,-0.044
-11,-1.0161,0.02132,-0.0415
-10.75,-1.0033,0.0208,-0.0391
-10.5,-0.9895,0.02031,-0.0368
-10.25,-0.976,0.01971,-0.0346
-10,-0.9485,0.01889,-0.0353
-9.75,-0.9149,0.01839,-0.0369
-9.5,-0.88,0.01798,-0.0387
-9.25,-0.8488,0.01715,-0.04
-9,-0.8164,0.01669,-0.0413
-8.75,-0.7818,0.01632,-0.0428
-8.5,-0.7482,0.01562,-0.0445
-8.25,-0.7114,0.01526,-0.0466
-8,-0.6802,0.0147,-0.0476
-7.75,-0.6467,0.01432,-0.0489
-7.5,-0.6109,0.01382,-0.0508
-7.25,-0.5727,0.01346,-0.053
-7,-0.5345,0.01296,-0.0554
-6.75,-0.5041,0.01263,-0.0559
-6.5,-0.4712,0.01223,-0.057
-6.25,-0.4374,0.01183,-0.0583
-6,-0.4042,0.01148,-0.0594
-5.75,-0.3781,0.01122,-0.0589
-5.5,-0.3478,0.01086,-0.0594
-5.25,-0.3209,0.01057,-0.0591
-5,-0.2935,0.01028,-0.0588
-4.75,-0.2659,0.01002,-0.0586
-4.5,-0.2397,0.00977,-0.0581
-4.25,-0.2123,0.00953,-0.0579
-4,-0.1858,0.00932,-0.0574
-3.75,-0.1587,0.00912,-0.0571
-3.5,-0.1318,0.00891,-0.0568
-3.25,-0.1051,0.00872,-0.0564
-3,-0.0778,0.00856,-0.0561
-2.75,-0.0511,0.00838,-0.0557
-2.5,-0.0242,0.00822,-0.0554
-2.25,0.0026,0.00806,-0.055
-2,0.0291,0.00789,-0.0546
-1.75,0.0554,0.00772,-0.0542
-1.5,0.0818,0.00758,-0.0537
-1.25,0.1079,0.00744,-0.0532
-1,0.134,0.00734,-0.0527
-0.75,0.1601,0.00725,-0.0521
-0.5,0.1861,0.00718,-0.0515
-0.25,0.2121,0.00712,-0.0509
0,0.2379,0.00708,-0.0501
0.25,0.2635,0.00706,-0.0494
0.5,0.289,0.00707,-0.0486
0.75,0.3143,0.0071,-0.0477
1,0.3396,0.00718,-0.0467
1.25,0.3655,0.00726,-0.0459
1.5,0.3929,0.00738,-0.0455
1.75,0.4224,0.00751,-0.0455
2,0.4544,0.00767,-0.0462
2.25,0.4881,0.00785,-0.0472
2.5,0.5264,0.00802,-0.0494
2.75,0.566,0.00818,-0.0518
3,0.6069,0.00833,-0.0546
3.25,0.646,0.0085,-0.057
3.5,0.6874,0.00865,-0.06
3.75,0.7207,0.00881,-0.0613
4,0.7426,0.00892,-0.0601
4.25,0.7645,0.00905,-0.059
4.5,0.7862,0.00919,-0.0578
4.75,0.8077,0.00936,-0.0565
5,0.8291,0.00954,-0.0553
5.25,0.8505,0.00974,-0.054
5.5,0.8719,0.00996,-0.0527
5.75,0.8932,0.0102,-0.0514
6,0.9143,0.01046,-0.0501
6.25,0.9352,0.01075,-0.0488
6.5,0.9559,0.01109,-0.0475
6.75,0.9765,0.01146,-0.0462
7,0.9977,0.01183,-0.045
7.25,1.0185,0.01224,-0.0438
7.5,1.0388,0.0127,-0.0426
7.75,1.0593,0.01315,-0.0414
8,1.0796,0.01362,-0.0402
8.25,1.0994,0.01412,-0.0389
8.5,1.1187,0.01464,-0.0376
8.75,1.1377,0.01518,-0.0362
9,1.1563,0.01572,-0.0348
9.25,1.1743,0.01627,-0.0333
9.5,1.1908,0.01687,-0.0316
9.75,1.2059,0.01744,-0.0296
10,1.2215,0.01801,-0.0277
10.25,1.2339,0.01876,-0.0255
10.5,1.2504,0.01931,-0.0239
10.75,1.2618,0.02017,-0.0218
11,1.2775,0.0208,-0.0202
11.25,1.2898,0.02165,-0.0184
11.5,1.3009,0.02259,-0.0166
11.75,1.3145,0.02341,-0.0151
12,1.3239,0.02453,-0.0133
12.25,1.3325,0.02577,-0.0116
12.5,1.3442,0.02682,-0.0103
12.75,1.3537,0.02807,-0.009
13,1.357,0.02986,-0.0074
13.25,1.3659,0.03129,-0.0063
13.5,1.3747,0.03277,-0.0054
13.75,1.3818,0.03446,-0.0046
14,1.3844,0.03661,-0.0037
14.25,1.3829,0.03924,-0.003
14.5,1.3895,0.04118,-0.0026
14.75,1.3935,0.04342,-0.0022
15,1.3964,0.04585,-0.0021
15.25,1.3977,0.04853,-0.0021
15.5,1.3954,0.05165,-0.0022
15.75,1.3883,0.05533,-0.0023
16,1.3906,0.05815,-0.0027
16.25,1.3909,0.06125,-0.0032
16.5,1.3898,0.06454,-0.0038
16.75,1.388,0.06799,-0.0046
17,1.3855,0.07161,-0.0054
17.25,1.3817,0.07539,-0.0064
17.5,1.3763,0.07935,-0.0074
17.75,1.3698,0.08328,-0.0081
